iso_code,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,stringency_index,population,median_age,gdp_per_capita,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,oecd_mei_index
CZE,Czechia,2020-11,523298.0,188196.0,217223.858,8295.0,5044.0,5194.86,48865.336,17573.660000000003,20284.26899999999,774.583,471.00800000000004,485.0930000000001,0.8200000000000001,71.54233333333336,10708982.0,43.3,32605.906,30.5,38.3,6.63,79.38,0.9,96.5317247650212
CZE,Czechia,2020-12,718661.0,195363.0,169419.0,11580.0,3285.0,3281.8549999999996,67108.246,18242.908000000003,15820.271,1081.335,306.753,306.4590000000001,1.15,65.50129032258066,10708982.0,43.3,32605.906,30.5,38.3,6.63,79.38,0.9,97.0021561314928
CZE,Czechia,2021-01,984774.0,266113.0,280434.1429999999,16308.0,4728.0,4725.857,91957.76,24849.513999999992,26186.815999999995,1522.834,441.503,441.299,0.9977419354838709,69.6193548387097,10708982.0,43.3,32605.906,30.5,38.3,6.63,79.38,0.9,97.3115221432625
DNK,Denmark,2020-05,11869.0,2513.0,2824.1450000000004,574.0,122.0,139.002,2049.134,433.8579999999998,487.57599999999996,99.099,21.066,23.999999999999996,0.8099999999999996,63.94967741935486,5792203.0,42.3,46682.515,19.3,18.8,2.5,80.9,0.94,97.2833192019176
DNK,Denmark,2020-06,12968.0,1099.0,1156.425,605.0,31.0,36.570999999999984,2238.872,189.73800000000006,199.65199999999996,104.451,5.353999999999999,6.314000000000001,0.9249999999999999,57.41000000000002,5792203.0,42.3,46682.515,19.3,18.8,2.5,80.9,0.94,99.0412275227008
DNK,Denmark,2020-07,14028.0,1060.0,937.002,615.0,10.0,9.722999999999995,2421.876,183.00600000000003,161.77,106.177,1.729,1.674999999999999,1.1974193548387095,55.25774193548391,5792203.0,42.3,46682.515,19.3,18.8,2.5,80.9,0.94,99.4502572741672
DNK,Denmark,2020-08,17410.0,3382.0,3317.143,624.0,9.0,10.002999999999998,3005.765,583.888,572.691,107.731,1.556,1.7249999999999994,1.263548387096774,50.93000000000001,5792203.0,42.3,46682.515,19.3,18.8,2.5,80.9,0.94,99.4802753083788
DNK,Denmark,2020-09,28479.0,11069.0,9891.573,650.0,26.0,24.574000000000005,4916.782,1911.0189999999998,1707.735,112.22,4.491,4.242,1.2843333333333335,49.85000000000003,5792203.0,42.3,46682.515,19.3,18.8,2.5,80.9,0.94,99.5415996842309
DNK,Denmark,2020-10,46863.0,18384.0,16723.429,721.0,71.0,64.56899999999999,8090.704,3173.9230000000002,2887.2299999999996,124.478,12.259,11.149999999999999,1.1577419354838707,43.251612903225784,5792203.0,42.3,46682.515,19.3,18.8,2.5,80.9,0.94,99.6422452908712
DNK,Denmark,2020-11,81002.0,34139.0,33554.141,837.0,116.0,103.57400000000001,13984.662,5893.961,5792.984000000001,144.505,20.029000000000003,17.881999999999998,1.1410000000000002,46.264333333333305,5792203.0,42.3,46682.515,19.3,18.8,2.5,80.9,0.94,99.7712783365458
DNK,Denmark,2020-12,164116.0,83114.0,79424.28600000001,1298.0,461.0,390.00000000000006,28333.952,14349.287999999999,13712.275000000001,224.094,79.592,67.332,1.1029032258064517,50.17774193548385,5792203.0,42.3,46682.515,19.3,18.8,2.5,80.9,0.94,99.9199973838102
DNK,Denmark,2021-01,199156.0,35040.0,40983.001,2126.0,828.0,862.5710000000001,34383.463,6049.510000000001,7075.547,367.045,142.95100000000005,148.91899999999998,0.7816129032258065,68.12935483870963,5792203.0,42.3,46682.515,19.3,18.8,2.5,80.9,0.94,100.060614401243
EST,Estonia,2020-05,1869.0,180.0,199.574,68.0,16.0,17.287,1408.93,135.69199999999998,150.44400000000002,51.261,12.062999999999997,13.029000000000003,0.8254838709677418,59.468709677419355,1326539.0,42.7,29481.252,24.5,39.3,4.69,78.74,0.892,90.4400611693198
EST,Estonia,2020-06,1989.0,120.0,137.141,69.0,1.0,2.716999999999999,1499.391,90.46400000000001,103.38400000000003,52.015,0.754,2.0460000000000003,0.7403333333333334,39.940666666666665,1326539.0,42.7,29481.252,24.5,39.3,4.69,78.74,0.892,93.789591095651
EST,Estonia,2020-07,2064.0,75.0,56.285,69.0,0.0,0.0,1555.929,56.541,42.433000000000014,52.015,0.0,0.0,1.1135483870967744,25.57129032258063,1326539.0,42.7,29481.252,24.5,39.3,4.69,78.74,0.892,96.9624096459665
EST,Estonia,2020-08,2375.0,311.0,298.28499999999997,64.0,-5.0,-4.998000000000002,1790.373,234.448,224.861,48.246,-3.7689999999999997,-3.7660000000000013,1.35258064516129,23.149999999999988,1326539.0,42.7,29481.252,24.5,39.3,4.69,78.74,0.892,98.7684366866673
EST,Estonia,2020-09,3371.0,996.0,875.432,64.0,0.0,0.0,2541.199,750.8249999999998,659.9359999999998,48.246,0.0,0.0,1.2676666666666667,24.72533333333332,1326539.0,42.7,29481.252,24.5,39.3,4.69,78.74,0.892,99.4672575903186
EST,Estonia,2020-10,4905.0,1534.0,1389.859,73.0,9.0,9.004999999999999,3697.592,1156.3900000000003,1047.73,55.03,6.7860000000000005,6.782000000000001,1.1693548387096775,25.929999999999982,1326539.0,42.7,29481.252,24.5,39.3,4.69,78.74,0.892,100.230370795377
EST,Estonia,2020-11,12308.0,7403.0,6685.000999999999,118.0,45.0,31.716999999999995,9278.28,5580.689,5039.426999999999,88.953,33.925,23.908,1.3563333333333332,32.43833333333335,1326539.0,42.7,29481.252,24.5,39.3,4.69,78.74,0.892,100.646506604221
EST,Estonia,2020-12,27990.0,15682.0,14757.428,229.0,111.0,109.42799999999998,21100.02,11821.742999999999,11124.760999999999,172.63,83.68100000000003,82.495,1.1348387096774193,48.83677419354835,1326539.0,42.7,29481.252,24.5,39.3,4.69,78.74,0.892,101.140073255611
EST,Estonia,2021-01,44208.0,16218.0,16555.287,419.0,190.0,188.429,33325.82,12225.797999999999,12480.058999999996,315.86,143.23000000000005,142.04799999999997,1.0209677419354841,49.10354838709678,1326539.0,42.7,29481.252,24.5,39.3,4.69,78.74,0.892,101.649454709959
FIN,Finland,2020-05,6859.0,1864.0,2048.7129999999997,320.0,109.0,119.142,1237.926,336.419,369.7579999999999,57.754,19.668000000000003,21.501999999999995,0.8032258064516128,55.8845161290323,5540718.0,42.8,40585.721,18.3,22.6,3.28,81.91,0.938,97.567973118806
FIN,Finland,2020-06,7214.0,355.0,460.85600000000005,328.0,8.0,14.006000000000006,1301.997,64.069,83.17700000000002,59.198,1.4399999999999997,2.5279999999999982,0.7433333333333333,39.506666666666696,5540718.0,42.8,40585.721,18.3,22.6,3.28,81.91,0.938,98.6668100851148
FIN,Finland,2020-07,7432.0,218.0,214.717,329.0,1.0,1.287,1341.342,39.342000000000006,38.754,59.379,0.18,0.23399999999999999,1.0835483870967744,36.62225806451616,5540718.0,42.8,40585.721,18.3,22.6,3.28,81.91,0.938,99.435574441305
FIN,Finland,2020-08,8086.0,654.0,629.1419999999999,336.0,7.0,6.147999999999997,1459.378,118.03599999999997,113.55200000000002,60.642,1.2619999999999998,1.1170000000000004,1.2409677419354836,33.575806451612884,5540718.0,42.8,40585.721,18.3,22.6,3.28,81.91,0.938,99.5243183400184
FIN,Finland,2020-09,9992.0,1906.0,1641.858,344.0,8.0,8.572,1803.376,344.0,296.327,62.086,1.444,1.5510000000000002,1.3130000000000002,32.409999999999975,5540718.0,42.8,40585.721,18.3,22.6,3.28,81.91,0.938,99.6833779482184
FIN,Finland,2020-10,16113.0,6121.0,5742.716,358.0,14.0,11.286,2908.107,1104.7319999999997,1036.456,64.613,2.5249999999999995,2.041,1.1970967741935485,35.900645161290335,5540718.0,42.8,40585.721,18.3,22.6,3.28,81.91,0.938,99.9252849951027
FIN,Finland,2020-11,24912.0,8799.0,8250.715,399.0,41.0,36.138,4496.168,1588.0610000000004,1489.1049999999996,72.012,7.396999999999999,6.52,1.1376666666666668,41.265000000000015,5540718.0,42.8,40585.721,18.3,22.6,3.28,81.91,0.938,100.224970879194
FIN,Finland,2020-12,36107.0,11195.0,11609.289,561.0,162.0,149.572,6516.664,2020.4960000000005,2095.2670000000003,101.25,29.235000000000003,26.996000000000006,0.9845161290322585,51.474516129032224,5540718.0,42.8,40585.721,18.3,22.6,3.28,81.91,0.938,100.544274356849
FIN,Finland,2021-01,45238.0,9131.0,8727.143,671.0,110.0,123.13799999999998,8164.646,1647.9830000000006,1575.0920000000003,121.103,19.851000000000006,22.224000000000004,1.0316129032258061,52.30999999999997,5540718.0,42.8,40585.721,18.3,22.6,3.28,81.91,0.938,100.865263225959
FRA,France,2020-05,190975.0,22114.0,22570.856,28805.0,4456.0,5381.858,2925.766,338.7900000000001,345.788,441.297,68.263,82.44800000000001,0.8303225806451612,80.07580645161288,65273512.0,42.0,38605.671,30.1,35.6,5.98,82.66,0.901,92.8224202034185
FRA,France,2020-06,204244.0,13269.0,15410.857,29846.0,1041.0,1124.7120000000002,3129.049,203.282,236.098,457.245,15.947000000000005,17.233,0.9516666666666668,66.20166666666665,65273512.0,42.0,38605.671,30.1,35.6,5.98,82.66,0.901,97.2903635389146
FRA,France,2020-07,227239.0,22995.0,20285.143,30268.0,422.0,443.7129999999999,3481.336,352.2890000000001,310.77400000000006,463.71,6.465999999999999,6.799000000000002,1.2106451612903226,48.090322580645136,65273512.0,42.0,38605.671,30.1,35.6,5.98,82.66,0.901,97.397771722663
FRA,France,2020-08,321160.0,93921.0,81689.14300000001,30646.0,378.0,367.7149999999999,4920.219,1438.8860000000002,1251.4879999999996,469.501,5.791,5.634,1.3980645161290324,47.37419354838712,65273512.0,42.0,38605.671,30.1,35.6,5.98,82.66,0.901,97.5503612502656
FRA,France,2020-09,605893.0,284733.0,269461.28300000005,31978.0,1332.0,1168.856,9282.372,4362.15,4128.188,489.908,20.404999999999998,17.908000000000005,1.2466666666666664,48.395,65273512.0,42.0,38605.671,30.1,35.6,5.98,82.66,0.901,97.6014863537368
FRA,France,2020-10,1414364.0,808471.0,711471.5719999999,36827.0,4849.0,4030.7109999999993,21668.269,12385.895000000002,10899.852,564.195,74.28599999999999,61.75,1.2616129032258063,50.1658064516129,65273512.0,42.0,38605.671,30.1,35.6,5.98,82.66,0.901,97.6551373293711
FRA,France,2020-11,2276874.0,862510.0,961500.9990000001,52819.0,15992.0,15849.145,34882.051,13213.786,14730.34,809.195,244.99999999999997,242.81,0.9093333333333334,78.33000000000001,65273512.0,42.0,38605.671,30.1,35.6,5.98,82.66,0.901,97.5888267404774
FRA,France,2020-12,2677666.0,400792.0,383230.8570000001,64759.0,11940.0,11900.141,41022.245,6140.191000000002,5871.157,992.118,182.924,182.313,0.9651612903225807,70.33967741935486,65273512.0,42.0,38605.671,30.1,35.6,5.98,82.66,0.901,97.6904981187731
FRA,France,2021-01,3255920.0,578254.0,557163.2880000001,76201.0,11442.0,11512.429,49881.183,8858.939000000002,8535.823999999999,1167.411,175.29299999999998,176.37199999999999,1.08258064516129,63.89000000000004,65273512.0,42.0,38605.671,30.1,35.6,5.98,82.66,0.901,97.7871896976128
DEU,Germany,2020-05,183410.0,20401.0,23220.14,8540.0,1917.0,2287.1440000000002,2189.083,243.495,277.144,101.929,22.877999999999993,27.29899999999999,0.7325806451612905,63.84193548387098,83783945.0,46.6,45229.245,28.2,33.1,8.0,81.33,0.947,93.4233669764113
DEU,Germany,2020-06,195418.0,12008.0,12121.141,8990.0,450.0,511.71500000000003,2332.404,143.32,144.673,107.3,5.366999999999999,6.108,0.9933333333333334,61.3276666666667,83783945.0,46.6,45229.245,28.2,33.1,8.0,81.33,0.947,98.0188230293784
DEU,Germany,2020-07,210399.0,14981.0,13765.0,9147.0,157.0,170.713,2511.209,178.80600000000004,164.289,109.174,1.8760000000000003,2.0399999999999996,1.0845161290322578,56.79387096774191,83783945.0,46.6,45229.245,28.2,33.1,8.0,81.33,0.947,99.1775512842472
